#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Yarrowia lipolytica	4952	PRJNA295780	295780	Fungi	Ascomycetes	20.548	48.9838	GCA_001761485.1	chromosome 1A:CP017553.1; chromosome 1B:CP017554.1; chromosome 1C:CP017555.1; chromosome 1D:CP017556.1; chromosome 1E:CP017557.1; chromosome 1F:CP017558.1; mitochondrion MT:CP017559.1	-	7	8746	7949	2016/10/12	2016/10/25	Complete Genome	University of California, Irvine	SAMN04088558
Debaryomyces hansenii	4959	PRJNA323601	323601	Fungi	Ascomycetes	11.6201	35.5	GCA_001682995.1	-	LZDI01	444	-	-	2016/07/10	2016/07/10	Contig	University of Puerto Rico at Mayaguez	SAMN05181838
Drosophila simulans	7240	PRJNA18237	18237	Animals	Insects	137.843	42.1628	GCA_000259055.1	chromosome 2L:CM000361.1; chromosome 2R:CM000362.1; chromosome 3L:CM000363.1; chromosome 3R:CM000364.1; chromosome 4:CM000365.1; chromosome X:CM000366.1	AAGH01	10601	15998	15415	2005/03/23	2014/08/06	Chromosome	Washington University School of Medicine, Genome Sequencing Center	SAMN02953618
Pan troglodytes verus	37012	PRJNA16847	16847	Animals	Mammals	12.2633	36	GCA_000002175.2	chromosome Y:BA000047.1	-	2	-	-	2006/04/13	2016/12/16	Chromosome	The Chimpanzee Chromosome Y Sequencing Consortium	SAMD00067074
Zygosaccharomyces rouxii	4956	PRJDB4974	360528	Fungi	Ascomycetes	19.2695	39.7	GCA_001972345.1	-	BDGX01	132	10576	10038	2017/01/06	2017/01/06	Scaffold	Yamasa Corporation	SAMD00055679
Macaca mulatta	9544	PRJNA51409	51409	Animals	Mammals	2969.97	41.8692	GCA_000230795.1	chromosome 1:CM001253.1; chromosome 2:CM001254.1; chromosome 3:CM001255.1; chromosome 4:CM001256.1; chromosome 5:CM001257.1; chromosome 6:CM001258.1; chromosome 7:CM001259.1; chromosome 8:CM001260.1; chromosome 9:CM001261.1; chromosome 10:CM001262.1; chromosome 11:CM001263.1; chromosome 12:CM001264.1; chromosome 13:CM001265.1; chromosome 14:CM001266.1; chromosome 15:CM001267.1; chromosome 16:CM001268.1; chromosome 17:CM001269.1; chromosome 18:CM001270.1; chromosome 19:CM001271.1; chromosome 20:CM001272.1; chromosome X:CM001273.1	AEHK01	38224	21524	17802	2011/10/17	2013/11/01	Chromosome	Beijing Genomics Institute	SAMN00113489
Drosophila pseudoobscura	7237	PRJNA268391	268391	Animals	Insects	119.048	43.8	GCA_001014495.1	-	JXPY01	29237	-	-	2015/05/28	2015/05/28	Scaffold	UC Berkeley	SAMN03287996
Beta vulgaris subsp. vulgaris	3555	PRJNA176558	176558	Plants	Land Plants	426.675	35.9	GCA_000397105.1	-	ARYA01	260142	-	-	2013/05/13	2014/08/04	Scaffold	NWISRL-ARS-USDA	SAMN02262047
Phytophthora ramorum	164328	PRJNA177509	177509	Protists	Other Protists	38.866	54	GCA_000340395.2	-	AMZZ02	4878	-	-	2013/02/12	2017/01/18	Scaffold	University of Exeter	SAMN02981470
Schmidtea mediterranea	79327	PRJNA12585	12585	Animals	Flatworms	865.587	29.9	GCA_000181075.1	-	AAWT01	94682	-	-	2007/01/26	2014/08/06	Contig	Genome Sequencing Center, Washington University	SAMN02953673
Histoplasma capsulatum H88	544711	PRJNA29163	29163	Fungi	Ascomycetes	37.9432	42	GCA_000151005.2	-	ABRJ01	17	9665	9445	2008/09/05	2014/08/06	Scaffold	Broad Institute	SAMN02953730
Caenorhabditis remanei	31234	PRJNA248911	248911	Animals	Roundworms	124.542	35.3	GCA_002259225.1	-	NMWX01	912	24867	25568	2017/08/18	2017/08/18	Scaffold	University of Oregon	SAMN02803906
Blastomyces dermatitidis ATCC 26199	447095	PRJNA39263	39263	Fungi	Ascomycetes	71.5153	37.1	GCA_000166155.1	-	AEII01	3282	9491	11211	2010/11/05	2014/08/11	Scaffold	Broad Institute	SAMN02981284
Acanthamoeba castellanii	5755	PRJEB7687	271768	Protists	Other Protists	115.05	58.9	GCA_000826485.1	-	CDFL01	221748	-	-	2015/01/06	2015/02/07	Scaffold	UOL_CGR	SAMEA3111758
Clavispora lusitaniae	36911	PRJNA323545	323545	Fungi	Ascomycetes	11.9928	44.5	GCA_001673695.2	-	LYUB02	53	5740	5537	2016/06/21	2017/06/08	Scaffold	Bordeaux University	SAMN05180929
Coccidioides immitis RMSCC 2394	404692	PRJNA17713	17713	Fungi	Ascomycetes	28.9084	46.2	GCA_000149895.1	-	AATX01	31	10524	10408	2006/11/02	2015/07/13	Scaffold	Broad Institute	SAMN02953671
Rhizopus oryzae B7407	1274785	PRJNA184879	184879	Fungi	Other Fungi	43.2723	34.9	GCA_000696915.1	-	JNDL01	4683	-	-	2014/06/02	2014/06/02	Contig	IGS	SAMN02347467
Trichoderma reesei	51453	PRJNA348760	348760	Fungi	Ascomycetes	32.4728	53.6	GCA_001999515.1	-	MLIW01	167	-	-	2017/02/13	2017/02/13	Scaffold	Pacific Northwest National Lab	SAMN05915248
Paracoccidioides brasiliensis	121759	PRJNA287815	287815	Fungi	Ascomycetes	29.3999	44.2	GCA_001713645.1	-	LZYO01	1368	8186	8070	2016/08/25	2016/08/25	Scaffold	Broad Institute	SAMN03787412
Komagataella pastoris	4922	PRJEB12220	311185	Fungi	Ascomycetes	9.36183	41.1	GCA_900007755.1	-	FBVR01	177	-	-	2016/02/06	2016/02/06	Contig	CEBITEC	SAMEA3718945
Saccharomyces pastorianus Weihenstephan 34/70	520522	PRJNA229845	229845	Fungi	Ascomycetes	22.9627	39	GCA_000586535.1	-	AZAA01	1358	-	-	2014/03/10	2014/08/11	Contig	Carlsberg Laboratory	SAMN02981573
Ascaris suum	6253	PRJNA62057	62057	Animals	Roundworms	262.594	37.9	GCA_000187025.2	-	AEUI02	19470	14815	9213	2011/01/28	2014/08/06	Scaffold	Department of Biochemistry and Molecular Genetics, University of Colorado School of Medicine	SAMN02953788
Aspergillus flavus	5059	PRJNA293877	293877	Fungi	Ascomycetes	35.8352	48.3	GCA_001576635.1	-	LOAL01	999	-	-	2016/02/26	2016/05/04	Contig	USDA	SAMN04011587
Prunus persica	3760	PRJNA54015	54015	Plants	Land Plants	211.308	37.2	GCA_000218195.1	-	AEKW01	35219	-	-	2011/06/01	2013/11/01	Scaffold	UC Davis Genome Center Bioinformatics Core	SAMN00115268
Candida dubliniensis	42374	PRJNA221141	221141	Fungi	Ascomycetes	13.9982	33.1	GCA_000647575.1	-	JFFY01	892	-	-	2014/04/23	2014/04/23	Contig	University of Birmingham	SAMN02593545
Cryptosporidium hominis	237895	PRJNA252787	252787	Protists	Apicomplexans	9.05401	30.1	GCA_000804495.1	-	JRXJ01	78	-	-	2014/12/18	2014/12/18	Scaffold	Division of Foodborne, Waterborne, and Environmental Diseases, Centers for Disease Control and Prevention	SAMN02862042
Aspergillus niger ATCC 1015	380704	PRJNA15785	15785	Fungi	Ascomycetes	34.8533	50.3	GCA_000230395.2	-	ACJE01	24	10947	10950	2011/10/12	2014/08/06	Contig	DOE Joint Genome Institute	SAMN02953752
Nicotiana tabacum	4097	PRJNA208211	208211	Plants	Land Plants	3735.82	39	GCA_000715095.1	-	AWOK01	643545	-	-	2014/05/29	2015/04/28	Scaffold	Philip Morris International R&D	SAMN02316629
Manihot esculenta	3983	PRJNA236442	236442	Plants	Land Plants	292.098	34.5	GCA_000737115.1	-	JPQF01	65771	-	-	2014/07/31	2014/08/01	Scaffold	The Cassava Genome Consortium	SAMN02592734
Callithrix jacchus	9483	PRJDB3965	292167	Animals	Mammals	2620.63	40.8	GCA_001269965.1	-	BBXK01	109198	-	-	2015/08/07	2016/10/20	Contig	Department of Biosciences and Informatics, Keio University	SAMD00031689
Zymoseptoria tritici ST99CH_1A5	1276529	PRJEB15648	359528	Fungi	Ascomycetes	39.6987	52.2048	GCA_900099495.1	chromosome 1:LT882676.1; chromosome 2:LT882677.1; chromosome 3:LT882678.1; chromosome 4:LT882679.1; chromosome 5:LT882680.1; chromosome 6:LT882681.1; chromosome 7:LT882682.1; chromosome 8:LT882683.1; chromosome 9:LT882684.1; chromosome 10:LT882685.1; chromosome 11:LT882686.1; chromosome 12:LT882687.1; chromosome 13:LT882688.1; chromosome 14:LT882689.1; chromosome 15:LT882690.1; chromosome 16:LT882691.1; chromosome 17:LT882692.1; chromosome 18:LT882693.1; chromosome 19:LT882694.1; chromosome 20:LT882695.1; chromosome 21:LT882696.1	-	21	12072	12072	2017/06/04	2017/08/08	Chromosome	ETH	SAMEA4489935
Oryza rufipogon	4529	PRJNA243646	243646	Plants	Land Plants	12.7409	42.6	GCA_000700045.1	chromosome 3:CM002797.1	JNHC01	1	-	-	2014/06/10	2014/06/11	Chromosome	University of Arizona	SAMN02721168
Botrytis cinerea T4	999810	PRJNA64593	64593	Fungi	Ascomycetes	39.5114	43.5	GCA_000227075.1	-	-	118	16353	16353	-	-	Scaffold	Genoscope	-
Hevea brasiliensis	3981	PRJDB4387	328344	Plants	Land Plants	1550.51	33.4	GCA_001907995.1	-	MKXE01	189320	-	-	2016/12/12	2016/12/12	Scaffold	RIKEN	SAMD00043965
Aspergillus oryzae AS 3.951	1163405	PRJNA89727	89727	Fungi	Ascomycetes	36.3336	48.3	GCA_000278405.1	-	AKXN01	969	-	-	2012/07/16	2014/08/11	Contig	South China University of Technology 	SAMN02981428
Oryzias latipes	8090	PRJNA325194	325194	Animals	Fishes	744.414	40.8674	GCA_002234695.1	chromosome 1:CP020621.1; chromosome 2:CP020622.1; chromosome 3:CP020623.1; chromosome 4:CP020624.1; chromosome 5:CP020625.1; chromosome 6:CP020626.1; chromosome 7:CP020627.1; chromosome 8:CP020628.1; chromosome 9:CP020629.1; chromosome 10:CP020630.1; chromosome 11:CP020631.1; chromosome 12:CP020632.1; chromosome 13:CP020633.1; chromosome 14:CP020634.1; chromosome 15:CP020635.1; chromosome 16:CP020636.1; chromosome 17:CP020637.1; chromosome 18:CP020638.1; chromosome 19:CP020639.1; chromosome 20:CP020640.1; chromosome 21:CP020641.1; chromosome 22:CP020642.1; chromosome 23:CP020643.1; chromosome 24:CP020644.1	-	24	-	-	2017/07/27	2017/07/27	Chromosome	The University of Tokyo	SAMN06690114
Vigna radiata	157791	PRJNA32351	32351	Plants	Land Plants	10.1012	34.9	GCA_000180895.1	-	BABL01	46645	-	-	2009/11/30	2015/09/17	Contig	Genome Institute, National Center for Genetic Engineering and Biotechnology	SAMD00036538
Taenia solium	6204	PRJNA183343	183343	Animals	Flatworms	116.38	31.3	GCA_002221735.1	-	JSUL01	17279	-	-	2017/07/19	2017/07/19	Contig	NIAID	SAMN03144737
Fusarium oxysporum f. sp. lycopersici MN25	1080343	PRJNA72769	72769	Fungi	Ascomycetes	48.6374	47.7	GCA_000259975.2	-	AGBH01	388	18297	24733	2012/04/27	2014/08/11	Scaffold	Broad Institute	SAMN02981365
Malassezia globosa	76773	PRJNA286710	286710	Fungi	Basidiomycetes	8.94037	52	GCA_001264805.1	-	LFGF01	113	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774896
Malassezia restricta	76775	PRJNA286710	286710	Fungi	Basidiomycetes	7.24985	55.8	GCA_001264765.1	-	LFDA01	90	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774880
Talaromyces marneffei PM1	1077442	PRJNA251717	251717	Fungi	Ascomycetes	28.3373	46.7	GCA_000750115.1	-	JPOX01	216	10040	13044	2014/09/08	2014/09/08	Scaffold	Texas A&M University	SAMN02191664
Trichoderma virens	29875	PRJNA306534	306534	Fungi	Ascomycetes	45.8201	49.1	GCA_001835465.1	-	LQCH01	107	-	-	2016/10/24	2017/04/20	Scaffold	Bhabha Atomic Research Centre	SAMN04351469
Trichoderma atroviride	63577	PRJDB3574	313777	Fungi	Ascomycetes	37.317	48.5	GCA_001599035.1	-	BCFX01	23	-	-	2016/03/01	2016/03/01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028324
Hypsibius dujardini	232323	PRJNA309530	309530	Animals	Other Animals	182.155	30.8	GCA_001579985.1	-	LRSR01	14960	-	-	2016/03/03	2016/05/11	Scaffold	university of Chicago	SAMN04435392
Trichophyton rubrum CBS 100081	1215328	PRJNA186828	186828	Fungi	Ascomycetes	23.0618	47.2	GCA_000616805.1	-	AOKT01	550	8985	10637	2014/04/02	2014/04/08	Scaffold	Broad Institute	SAMN01091661
Macaca fascicularis	9541	PRJNA51411	51411	Animals	Mammals	3126.56	42.0609	GCA_000230815.1	chromosome 1:CM001276.1; chromosome 2:CM001277.1; chromosome 3:CM001278.1; chromosome 4:CM001279.1; chromosome 5:CM001280.1; chromosome 6:CM001281.1; chromosome 7:CM001282.1; chromosome 8:CM001283.1; chromosome 9:CM001284.1; chromosome 10:CM001285.1; chromosome 11:CM001286.1; chromosome 12:CM001287.1; chromosome 13:CM001288.1; chromosome 14:CM001289.1; chromosome 15:CM001290.1; chromosome 16:CM001291.1; chromosome 17:CM001292.1; chromosome 18:CM001293.1; chromosome 19:CM001294.1; chromosome 20:CM001295.1; chromosome X:CM001296.1	AEHL01	45468	21132	17456	2011/10/17	2013/11/01	Chromosome	Beijing Genomics Institute	SAMN00116341
Blumeria graminis f. sp. tritici 94202	1306135	PRJNA193396	193396	Fungi	Ascomycetes	71.2844	43.3	GCA_000417865.1	-	ASJK01	91192	-	-	2013/07/01	2014/08/11	Scaffold	University of Zurich	SAMN02981532
Agaricus bisporus var. bisporus	192523	PRJNA61005	61005	Fungi	Basidiomycetes	30.7842	46.517	GCA_001682475.1	chromosome 1:CP015470.1; chromosome 10:CP015479.1; chromosome 11:CP015480.1; chromosome 12:CP015481.1; chromosome 13:CP015482.1; chromosome 2:CP015471.1; chromosome 3:CP015472.1; chromosome 4:CP015473.1; chromosome 5:CP015474.1; chromosome 6:CP015475.1; chromosome 7:CP015476.1; chromosome 8:CP015477.1; chromosome 9:CP015478.1	-	13	-	-	2016/07/08	2016/07/20	Chromosome	JGI	SAMN04880541
Verticillium dahliae VdLs.17	498257	PRJNA276625	276625	Fungi	Ascomycetes	35.9739	53.9912	GCA_000952015.1	chromosome 1:CP010980.1; chromosome 2:CP010981.1; chromosome 3:CP010982.1; chromosome 4:CP010983.1; chromosome 5:CP010984.1; chromosome 6:CP010985.1; chromosome 7:CP010986.1; chromosome 8:CP010987.1	-	8	-	-	2015/03/13	2015/03/13	Complete Genome	Wageningen University	SAMN02953716
Beauveria bassiana	176275	PRJNA260878	260878	Fungi	Ascomycetes	38.8285	49.1	GCA_001684205.1	-	JTCX01	351	-	-	2016/07/12	2016/07/12	Scaffold	Wageningen University	SAMN03175167
Candida parapsilosis	5480	PRJEB5471	238642	Fungi	Ascomycetes	13.0501	38	GCA_000982555.1	-	CBZQ02	37	-	-	2014/02/19	2015/10/27	Contig	CRG	SAMEA3146268
Puccinia triticina Race 106	1436007	PRJNA231548	231548	Fungi	Basidiomycetes	105.068	-	GCA_001706785.1	-	AZRP01	55512	-	-	2016/08/17	2016/08/17	Contig	National Research Centre on Plant Biotechnology	SAMN02444502
Cucumis sativus	3659	PRJNA296786	296786	Plants	Land Plants	342.654	-	GCA_001483825.2	-	LKUO02	8035	-	-	2015/12/31	2017/05/19	Contig	PCC Genomics - Polish Consortium of Cucumber Genome Sequencing	SAMN04103735
Gorilla gorilla gorilla	9595	PRJNA293447	293447	Animals	Mammals	25.3917	41.5	GCA_001484535.2	-	LQCJ01	697	-	-	2016/01/04	2016/08/30	Scaffold	The Pennsylvania State University	SAMN04003007
Metarhizium anisopliae BRIP 53284	1291519	PRJNA188935	188935	Fungi	Ascomycetes	38.0886	51.5	GCA_000426985.1	-	APNC01	1193	11456	11456	2013/07/12	2015/03/18	Scaffold	EH Graham Centre for Agricultural Innovation, School of Agricultural and Wine Sciences, Charles Sturt University	SAMN02981522
Pseudogymnoascus destructans M1379	1414443	PRJNA225231	225231	Fungi	Ascomycetes	30.2827	49.8	GCA_000496955.1	-	AYKP01	5304	-	-	2013/11/14	2014/08/11	Contig	Institute for Genome Sciences, University of Maryland School of Medicine	SAMN02981568
Fusarium proliferatum	948311	PRJNA389502	389502	Fungi	Ascomycetes	64.1623	46.3	GCA_002234285.1	-	NJCT01	10475	-	-	2017/07/27	2017/07/27	Scaffold	University of Amsterdam	SAMN07201036
Zygosaccharomyces bailii	4954	PRJEB11553	390094	Fungi	Ascomycetes	10.773	42.2	GCA_900162805.1	-	FUGC01	105	5407	5141	2017/06/11	2017/06/11	Scaffold	Institute of Bioinformatics and Systems Biology	SAMEA79702918
Puccinia striiformis f. sp. tritici PST-130	875184	PRJNA51241	51241	Fungi	Basidiomycetes	64.7866	44.5	GCA_000223505.1	-	AEEW01	29178	-	-	2011/08/16	2014/08/04	Contig	Plant Sciences Dept, UC Davis	SAMN00025370
Microbotryum violaceum	5272	PRJEB12080	358699	Fungi	Basidiomycetes	35.4054	56	GCA_900009495.1	-	FBRZ01	223	-	-	2016/12/23	2016/12/23	Contig	INRA-LIPM	SAMEA3706518
Epichloe festucae	35717	PRJNA382574	382574	Fungi	Ascomycetes	35.655	43.5	GCA_002163435.1	-	NDBD01	3769	-	-	2017/06/01	2017/06/01	Scaffold	Massey University	SAMN06710538
Wuchereria bancrofti	6293	PRJNA37759	37759	Animals	Roundworms	81.5092	29.7	GCA_000180755.1	-	ADBV01	25884	19401	19323	2010/02/03	2014/08/06	Scaffold	Broad Institute	SAMN02953768
Hyaloperonospora arabidopsidis	272952	PRJNA298674	298674	Protists	Other Protists	74.4562	47.8	GCA_001414525.1	-	LLKM01	12086	-	-	2015/10/27	2015/10/27	Scaffold	University of Exeter	SAMN04161522
Nothobranchius furzeri	105023	PRJNA29535	29535	Animals	Fishes	113.234	45.2	GCA_000182035.2	-	ABLO02	119834	-	-	2009/03/17	2015/12/16	Scaffold	Leibniz Institute for Age Research - Fritz Lipmann Institute (FLI)	SAMN00000222
Elaeis guineensis	51953	PRJNA217845	217845	Plants	Land Plants	134.97	38.2	GCA_002146295.1	-	AXCU01	186862	-	-	2017/05/17	2017/05/17	Contig	MyOPGP	SAMN03103722
Lepeophtheirus salmonis	72036	PRJNA280127	280127	Animals	Other Animals	665.312	30.8	GCA_001005235.1	-	LBBW01	109132	-	-	2015/05/08	2015/05/08	Contig	University of Victoria	SAMN03457013
Cricetulus griseus	10029	PRJNA167053	167053	Animals	Mammals	2360.13	41.5	GCA_000419365.1	-	AMDS01	52710	27756	32843	2013/07/08	2014/08/11	Scaffold	Beijing Genomics Institution-shenzhen	SAMN02981459
Mucor circinelloides	36080	PRJNA290220	290220	Fungi	Other Fungi	35.3389	40.2	GCA_001276145.1	-	LGTF01	821	-	-	2015/08/31	2015/09/22	Scaffold	Jiangnan University	SAMN03877393
Leishmania donovani	5661	PRJNA297706	297706	Protists	Kinetoplasts	32.1964	58.2035	GCA_001989975.1	chromosome 1:CP018586.1; chromosome 2:CP018597.1; chromosome 3:CP018605.1; chromosome 4:CP018606.1; chromosome 5:CP018607.1; chromosome 6:CP018608.1; chromosome 7:CP018609.1; chromosome 8:CP018610.1; chromosome 9:CP018611.1; chromosome 10:CP018576.1; chromosome 11:CP018577.1; chromosome 12:CP018578.1; chromosome 13:CP018579.1; chromosome 14:CP018580.1; chromosome 15:CP018581.1; chromosome 16:CP018582.1; chromosome 17:CP018583.1; chromosome 18:CP018584.1; chromosome 19:CP018585.1; chromosome 20:CP018587.1; chromosome 21:CP018588.1; chromosome 22:CP018589.1; chromosome 23:CP018590.1; chromosome 24:CP018591.1; chromosome 25:CP018592.1; chromosome 26:CP018593.1; chromosome 27:CP018594.1; chromosome 28:CP018595.1; chromosome 29:CP018596.1; chromosome 30:CP018598.1; chromosome 31:CP018599.1; chromosome 32:CP018600.1; chromosome 33:CP018601.1; chromosome 34:CP018602.1; chromosome 35:CP018603.1; chromosome 36:CP018604.1	-	36	-	-	2017/02/07	2017/02/07	Chromosome	Indian Institute Of Chemical biology	SAMN04145217
Odocoileus virginianus	9874	PRJNA52611	52611	Animals	Mammals	15.0023	45.6	GCA_000191605.1	-	AEGY01	44342	-	-	2011/03/07	2014/08/06	Contig	Texas A&M University	SAMN02953782
Starmerella bacillaris	1247836	PRJNA376556	376556	Fungi	Ascomycetes	9.32838	39.5	GCA_002094175.1	-	MWPI01	79	-	-	2017/04/17	2017/04/17	Contig	University of Padova	SAMN06434787
Scleropages formosus	113540	PRJNA290062	290062	Animals	Fishes	738.407	43.9	GCA_001624255.1	-	LGSF01	10955	-	-	2016/04/19	2016/11/08	Scaffold	BGI-SZ	SAMN03894452
Acanthaster planci	133434	PRJDB3175	275725	Animals	Other Animals	2.58492	41.5	GCA_000950615.1	-	BBNW01	2	-	-	2015/02/17	2015/02/17	Scaffold	Okinawa Institute of Science and Technology	SAMD00020546
Tilletia indica	43049	PRJNA314779	314779	Fungi	Basidiomycetes	30.3848	54.4	GCA_001645015.1	-	LWDF01	1666	9548	9548	2016/05/16	2016/05/16	Scaffold	Agriculture and Agri-Food Canada	SAMN04543134
Toxocara canis	6265	PRJNA320963	320963	Animals	Roundworms	341.757	26.4	GCA_001680135.1	-	LYYD01	10853	-	-	2016/07/06	2016/07/06	Scaffold	Hallym University	SAMN04961616
Camelus dromedarius	9838	PRJNA269274	269274	Animals	Mammals	2055.06	41.5	GCA_000803125.1	-	JWIN01	35752	-	-	2014/12/17	2014/12/17	Scaffold	Vetmeduni Vienna	SAMN03252735
Penicillium chrysogenum KF-25	1218708	PRJNA172002	172002	Fungi	Ascomycetes	29.9175	49	GCA_000816005.1	-	AZRB01	194	-	-	2015/01/07	2015/01/08	Scaffold	Key Laboratory of Agricultural and Environmental Microbiology,Wuhan Institute of Virology, Chinese Academy of Sciences	SAMN02147003
Heliconius cydno cordula	328831	PRJEB8011	288364	Animals	Insects	8.41619	31.8	GCA_001485765.1	-	FAPC01	15401	-	-	2015/11/29	2015/11/29	Scaffold	CAM	SAMEA1094492
Heliconius melpomene amaryllis	248312	PRJEB8011	288364	Animals	Insects	18.5734	31.4	GCA_001485805.1	-	FARF01	46387	-	-	2015/11/29	2015/11/29	Scaffold	CAM	SAMEA1094482
Capsicum annuum	4072	PRJNA223222	223222	Plants	Land Plants	3063.64	35.5	GCA_000512255.1	-	AYRZ01	37989	-	-	2013/12/30	2014/08/11	Scaffold	Seoul National University	SAMN02981571
Kluyveromyces marxianus	4911	PRJNA316759	316759	Fungi	Ascomycetes	10.9145	40.1475	GCA_001854445.1	chromosome 1:CP015054.1; chromosome 2:CP015055.1; chromosome 3:CP015056.1; chromosome 4:CP015057.1; chromosome 5:CP015058.1; chromosome 6:CP015059.1; chromosome 7:CP015060.1; chromosome 8:CP015061.1	-	8	-	-	2016/10/26	2016/10/26	Complete Genome	Fudan university	SAMN04601176
Aegilops tauschii	37682	PRJNA316988	316988	Plants	Land Plants	247.197	46.5	GCA_002105435.1	chromosome 3D:CM007856.1	LYXL01	1	-	-	2017/04/14	2017/04/24	Chromosome	China Agricultural University	SAMN04622930
Lentinula edodes 135B	1335646	PRJNA203522	203522	Fungi	Basidiomycetes	37.6382	46	GCA_002195955.1	-	ASZE01	3305	-	-	2017/06/15	2017/06/15	Scaffold	Institute of Edible Fungi, Shanghai Academy of Agricultural Sciences, Shanghai, P. R. China	SAMN02169063
Vigna angularis var. angularis	157739	PRJNA210126	210126	Plants	Land Plants	291.824	33.1	GCA_000465365.1	-	AUGG01	14501	-	-	2013/09/06	2014/08/11	Scaffold	Seoul National University	SAMN02981549
Alternaria alternata	5599	PRJNA278916	278916	Fungi	Ascomycetes	34.3559	51	GCA_001572055.1	-	LPVP01	156	12048	12048	2016/02/24	2017/06/30	Contig	Zhejiang University	SAMN03444426
Mortierella alpina	64518	PRJNA284099	284099	Fungi	Other Fungi	36.3052	51.8	GCA_001021685.1	-	LDAW01	1962	-	-	2015/06/08	2015/06/08	Contig	Nanjing Tech University	SAMN03658567
Ganoderma lucidum BCRC 37177	939174	PRJDA61381	61381	Fungi	Basidiomycetes	44.0804	55.5	GCA_000338035.1	-	BACH01	3275	-	-	2013/02/01	2015/09/16	Contig	Ganoderma lucidum Research Consortium	SAMD00036554
Picea glauca	3330	PRJNA83435	83435	Plants	Land Plants	258.272	37.9	GCA_001687225.1	-	LDPM01	222034	-	-	2016/07/18	2016/07/18	Contig	The SMarTForests Project	SAMN01120252
Penicillium expansum NRRL 62431	1208580	PRJNA170336	170336	Fungi	Ascomycetes	31.5475	48.5	GCA_000584915.1	-	ALJY01	4775	-	-	2014/03/03	2014/08/04	Contig	Murdoch University	SAMN01091924
Ophiocordyceps sinensis	72228	PRJNA292632	292632	Fungi	Ascomycetes	112.137	44.7	GCA_002077885.1	-	LKHE01	3687	-	-	2017/04/03	2017/04/03	Scaffold	Institute of Microbiology, Chinese Academy of Sciences	SAMN04009789
